,Topic,Count,Name,Representation,Representative_Docs
0,-1,45272,-1_im_help_need_use,"['im', 'help', 'need', 'use', '10', 'hello', '30', 'link', 'user', 'deleted']","['how can i make myself less tight for my partner?. hi! im a 19f college student and haven’t had anything in me or any penetration whatsoever. i’m currently in a relationship with my partner and we’re both women. we both bought a strap for intimacy and for her, it was easier for her to get it in. with me tho, i cant even take it, even with lube it just hurts so much. it was kind of embarrassing bc she tried putting her finger in and it just hurts when she does it and i have to tell her to not continue. i’ve also tried putting a tampon but have lots of discomfort getting that in. it gets me really sad bc i know she wants to please me but with this problem, i just find it hard to let her do any type of penetration or fingering me. i really want her to do it, which is why im asking if there’s any way i can stretch myself out a bit in order to make it easier for her and not a problem with it during intimacy. sorry this is kind of a rant but any advice will help and i’ll take all into consideration! thanks in advance <3', ""getting period every other week. Im 23, Im usually very regular with my period; it happens every 29 days and lasts for 7 days max. For the first time in my life, I've gotten my period thrice this month. The first one was from October 2-8, the second was from 16-21, then the third began today oct 29th. Im not on birth control or any kind of contraception. My insurance isn't great because I'm still a student, so I'm having difficulty finding a gyn. I talked to my primary care doctor when the second period happened and she said find a gyn because she cant do anything to help me. I called up so many places and finally got an appointment with a cmw midwife in a couple days idk how helpful that's going to be. The only medication I'm taking is Nixiyax lacticum which my dermatologist said is for my hormonal acne (she didnt do any blood tests just looked my face and said its due to cortisol). I try to stay active like intense - moderate activity 3-4 days a week and eat healthy, im not sure what im doing wrong for this to happen. I feel absolutely cornered. I dont know what to do."", 'help me please im desperate for advice.. Hi, i really need help and talking to my parents and going to the doctors arent an option. Im really embarrassed writing this but I think I have a yeast infection down there. Around two days ago I realized that down there had discharge that was white and cottage-y. My discharge currently is really thick, I have bumps some hurt (may be sores but im not sure but I do have pimple-like bumps on it) and it burns when I pee. I took Fluconazole a little under 24 hours ago i took 100 mg from the pharmacy. The discharge is less cottage-y and is just clumpy. Is it gonna get worse before its better because thats what I heard some people say. I dont know what to do please help. For context im 19 (im a virgin but my boyfriend does slide it around sometimes but not in). please help im panicking and idk what to do.']"
1,0,72631,0_im_help_need_use,"['im', 'help', 'need', 'use', 'hello', '10', '30', 'link', 'user', 'deleted']","['pap smear result help- i dont understand. i had my first pap smear at 21 recently, and i dont really understand the results. im clueless! my gyno is unavailable to be contacted at the moment too, so im asking for help here! cervical screening showed nothing abnormal, we did pap smear just in case because of unresolved issues. point c and the conclusion is what im struggling with --- **the results:** (using bethesda system?) a) valid for screening b) no intraepithelial lesions or malignant process found (NILM) **c)** *other non-cancerous lesions - reactive and reparative lesions associated with inflammation* inflammatory changes in the nucleated cells **(?)** - anti-inflammatory treatment advised --- i was prescribed an antibiotic/antimicrobial agent(?) to take, but i dont really understand what exactly the issue is 😅 from what i understand, its a negative for cancer? but what are the other lesions? STI/STD/BV/etc? do i need to go to another gyno? should i be worried? should i be withholding from sex? are the lesions something permanent?', 'Uti or just sensitive. Hi everyone! Was wondering: i woke up and went pee and it burned but after that there was no burning at all for two days. Tonight it slightly burned when peeing but im unsure if this is a UTI or a preperiod symptom (sometimes this happens before it starts) I went to an urgent care and they said some white blood cells were present and to treat it as a UTI but i hate taking antibiotics when i dont need them, any thoughts? Please help!! UPDATE: it is a uti and im also getting my period yay cramps im so lucky🙃', ""suicidal thoughts and depression/mood extremely bad during/before period. So I have diagnosed depression/anxiety/ borderline personality disorder and agoraphobia (I know, it's a lot...) but normally I can function( atleast a little bit) on my pills. I've had the depression/anxiety diagnosis since I was 14, the borderline and agoraphobia are recent diagnosis. anyway, i've been with my (now)husband since I was 18, and he noticed basically since we started dating, that my moods/depression/anxiety/etc, become very heightened just before/and during my period. This has been a constant every time.... it gets so bad that I can't leave my room. I get thoughts of self harm and I get extremely angry/sad and confrontational..there has been lots of times, that I get so aggressive and mean that I break something or scream and then later on cannot recall doing it. Im talking extreme mental breakdowns.... only during my period. One of the only times in my life, that Ive been even close to normal was during my pregnancy. Not once during my pregnancy did i have an episode or even thoughts of suicide.(could be due to purpose or fulfillment I suppose?) &amp;#x200B; I see a doctor/mental health specialist/therapy, regularly, and my doctor will not listen to me about it getting bad around my period. She completely dismisses it. **Basically I'm wondering if anyone has dealt with anything similar and if it could possibly due to hormones?** I currently have a non hormonal copper iud that I had inserted around 2015. Im taking birth control again, to see if it has an effect(its been about a year on it with no real difference). (i was on birth control from 14-18 but got off of it due to extreme moods swings, im now 24 and back on it) I still have these extreme thoughts on/off birth control. sorry if this is rambely im just foggy sometimes and its hard to express this kind of thing for me. **Im not planning anything with suicide or self harm, so please there is no need to comment on that.** **Thank you so much and I hope someone can help or has experienced something like this.**""]"
2,1,861,1_10_30_need_im,"['10', '30', 'need', 'im', 'help', '', '', '', '', '']","['10 loại vitamin cần thiết cho phụ nữ sức khoẻ tối ưu.', '10 cách làm đẹp từ chanh tươi.', '10 أشياء يجب أن تعرفها كل امرأة عن ملمس الشعر.']"
3,2,707,2_user deleted_deleted user_deleted_user,"['user deleted', 'deleted user', 'deleted', 'user', '', '', '', '', '', '']","['[deleted by user].', '[deleted by user].', '[deleted by user].']"
4,3,353,3_user deleted_deleted user_deleted_user,"['user deleted', 'deleted user', 'deleted', 'user', '', '', '', '', '', '']","['[deleted by user].', '[deleted by user].', '[deleted by user].']"
5,4,264,4_user deleted_deleted user_deleted_user,"['user deleted', 'deleted user', 'deleted', 'user', '', '', '', '', '', '']","['[deleted by user].', '[deleted by user].', '[deleted by user].']"
6,5,168,5_user deleted_deleted user_deleted_user,"['user deleted', 'deleted user', 'deleted', 'user', '', '', '', '', '', '']","['[deleted by user].', '[deleted by user].', '[deleted by user].']"
7,6,144,6_help_need_hello_link,"['help', 'need', 'hello', 'link', 'use', 'im', '', '', '', '']","['HELP- (warning: might be TMI but i really need help 😢.).', 'I really need help some help!!.', 'HELP I NEED HELP PLEASE.']"
8,7,116,7_user deleted_deleted user_deleted_user,"['user deleted', 'deleted user', 'deleted', 'user', '', '', '', '', '', '']","['[deleted by user].', '[deleted by user].', '[deleted by user].']"
9,8,107,8_user deleted_deleted user_deleted_user,"['user deleted', 'deleted user', 'deleted', 'user', '', '', '', '', '', '']","['[deleted by user].', '[deleted by user].', '[deleted by user].']"
