"","topic","clinical_trial_count","paper_count","post_count"
"1","abnormal_bleeding",377,4334,1229
"2","abortion",1386,34146,1399
"3","abortion_policy",133,6045,68
"4","adenomyosis",113,2279,72
"5","allergic_reaction",4118,128041,310
"6","amenorrhea",286,8383,347
"7","bacterial_vaginosis",403,5086,2573
"8","bartholin_cyst",3,811,362
"9","bloating",1817,5634,330
"10","boric_acid",0,1,148
"11","breast_cancer",4475,173758,1342
"12","breast_pain",2238,11626,290
"13","contraceptive_side_effects",977,17075,15
"14","dysmenorrhea",893,4916,2814
"15","endometriosis",975,29929,1984
"16","fatigue_sleep",25021,248202,301
"17","fibroadenoma",38,3800,235
"18","hair_loss",1513,37012,132
"19","headache_migraine",3942,107091,201
"20","heart_palpitations",217,3036,32
"21","heavy_bleeding",164,3198,496
"22","hemorrhoids",286,65455,76
"23","hirsutism",43,2432,21
"24","hormonal_acne",10,1298,30
"25","hot_flashes_night_sweats",267,3369,47
"26","interstitial_cystitis",271,4201,159
"27","iron_anemia",2706,52481,230
"28","irregular_periods",44,4499,398
"29","iud",1022,10250,3055
"30","libido",592,9675,462
"31","menopause",5422,37061,818
"32","menstrual_cycle",780,21943,5282
"33","nausea",10565,68408,369
"34","oral_contraceptives",344,4822,3177
"35","ovarian_cyst",1134,28099,4096
"36","ovarian_torsion",41,2245,202
"37","painful_sex",2003,3026,109
"38","pcos",285,6916,1696
"39","pelvic_floor",3251,24436,518
"40","pregnancy_test",11500,88183,825
"41","probiotics",32,423,253
"42","sti_std",7347,335083,2595
"43","thyroid",933,71501,796
"44","tubal_ligation",60,3603,315
"45","unprotected_sex",153,2858,146
"46","uti",2821,67809,5089
"47","vaginal_ph_microbiome",388,25706,79
"48","vulvodynia",115,927,40
"49","yeast_infection",38,3671,3458
